author name,identifier,country of citizenship,educated at,field of work,occupation,religion or worldview,sex or gender
Joannes a Sancto Hieronymo,,,,,,,
Anton Sander,Q2131492,Spanish Netherlands,University of Douai,,historian,Catholicism,male
,,,Old University of Leuven,,priest,,
,,,,,graphic artist,,
,,,,,engraver,,
"Sweertius, Robertus",,,,,,,
Charles Borromeo,Q216946,,University of Pavia,administration and management of the church,diplomat,Catholic Church,male
,,,,homiletics,Catholic priest,,
,,,,,inquisitor,,
,,,,,Catholic deacon,,
,,,,,priest,,
,,,,,preacher,,
,,,,,archbishop,,
,,,,,cardinal,,
"David, Jan",,,,,,,
Theodoor Galle,Q178329,Southern Netherlands,,engraving process,engraver,,male
,,,,,printmaker,,
Robert Bellarmine,Q298664,,Pontifical Gregorian University,administration and management of the church,writer,Catholic Church,male
,,,University of Padua,theology,librarian,,
,,,Old University of Leuven,Counter-Reformation,university teacher,,
,,,,philology,Latin Catholic priest,,
,,,,study of the Hebrew language,theologian,,
,,,,,regular clergyman,,
,,,,,priest,,
,,,,,philologist,,
,,,,,Hebraist,,
"de Bourgoigne, Charles",,,,,,,
Jan van Blitterswyck,Q27995644,,,,monk,,male
Francis Coster,Q2133452,,,theology,writer,Catholicism,male
,,,,,priest,,
,,,,,theologian,,
"Van Marselaer, Frederik",,,,,,,
"Hugo, Herman",,,,,,,
Carolus Scribani,Q39072817,,,,philosopher,,male
Bernardus Bauhusius,Q5305148,,,,composer,Catholicism,male
,,,,,writer,,
,,,,,priest,,
Erycius Puteanus,Q2791618,Spanish Netherlands,,,linguist,,male
,,Netherlands,,,university teacher,,
,,,,,writer,,
"Lipsius, Justus",,,,,,,
"Baxius, Nicasius",,,,,,,
Lawrence Beyerlinck,Q3828133,,Old University of Leuven,,writer,Catholic Church,male
,,,Universit¨¦ catholique de Louvain,,theologian,,
Marco Antonio Bonciari,Q21545041,,,,philologist,,male
,,,,,university teacher,,
Petrus Divaeus,Q14761011,,Old University of Leuven,,historian,,male
"Gaukema, Gauko",,,,,,,
Janus Lernutius,Q2537143,,,,writer,,male
"Rodoan, Carolus Philippus",,,,,,,
"Sweerts, Pierre Fran?ois",,,,,,,
"Dousa, Janus",,,,,,,
"Vrientius, Maximus Aemylianus",,,,,,,
"Lipsius, Justus",,,,,,,
Tacitus,Q2161,Ancient Rome,,,historian,,male
,,,,,politician,,
,,,,,military personnel,,
,,,,,poet,,
,,,,,philosopher,,
,,,,,biographer,,
,,,,,annalist,,
,,,,,jurist,,
,,,,,writer,,
"de Cro?, Charles",,,,,,,
"Bettenius, Leonardus",,,,,,,
Henricus Sommalius,Q1606112,Germany,,,Catholic priest,Catholicism,male
Johannes Trithemius,Q60178,Holy Roman Empire,Heidelberg University,,cryptographer,Catholic Church,male
,,,,,mathematician,,
,,,,,writer,,
,,,,,astrologer,,
,,,,,bibliographer,,
,,,,,magician,,
Pedro de Ribadeneira,Q1307637,Spain,University of Paris,,hagiographer,Catholicism,male
,,,University of Padua,,historian,,
,,,Old University of Leuven,,writer,,
"Schott, Andr¨¦",,,,,,,
Laevinus Torrentius,Q1866863,,Old University of Leuven,,Catholic priest,Catholic Church,male
Henricus Adriani,Q96865143,,Old University of Leuven,,theologian,,male
,,,,,religious,,
Francisco de Toledo,Q1379453,Spain,University of Salamanca,,Catholic priest,Catholic Church,male
,,,University of Valencia,,,,
Andrea Vittorelli,Q24702703,,,,priest,,male
,,,,,writer,,
"Fornari, Martin",,,,,,,
"Gibbons, Richard",,,,,,,
"Hugo, Herman",,,,,,,
Leonardus Lessius,Q1367280,Netherlands,Pontifical Gregorian University,theology,theologian,Catholic Church,male
,,,Sapienza University of Rome,,priest,,
,,,Universit¨¦ catholique de Louvain,,,,
,,,Old University of Leuven,,,,
"Vander Burch, Henricus Franciscus",,,,,,,
Leonardus Lessius,Q1367280,Netherlands,Pontifical Gregorian University,theology,theologian,Catholic Church,male
,,,Sapienza University of Rome,,priest,,
,,,Universit¨¦ catholique de Louvain,,,,
,,,Old University of Leuven,,,,
"Hugo, Herman",,,,,,,
"Vander Burch, Henricus Franciscus",,,,,,,
Johann Riserius,Q55126122,,,,monk,,male
Carolus Scribani,Q39072817,,,,philosopher,,male
Nicolas Suys,Q110215354,,,,,,
Henricus Adriani,Q96865143,,Old University of Leuven,,theologian,,male
,,,,,religious,,
"Lipsius, Justus",,,,,,,
Henricus Sedulius,Q21546722,,,,theologian,,male
"Spoelbergh, Guilielmus",,,,,,,
"Galle, Cornelius$ $ $bI",,,,,,,
"Rubens, Peter Paul",,,,,,,
Carolus Scribani,Q39072817,,,,philosopher,,male
Wenceslas Cobergher,Q513704,Southern Netherlands,,architecture,painter,,male
,,,,,engineer,,
,,,,,architect,,
Francis Coster,Q2133452,,,theology,writer,Catholicism,male
,,,,,priest,,
,,,,,theologian,,
Francis Coster,Q2133452,,,theology,writer,Catholicism,male
,,,,,priest,,
,,,,,theologian,,
Francis Coster,Q2133452,,,theology,writer,Catholicism,male
,,,,,priest,,
,,,,,theologian,,
Francis Coster,Q2133452,,,theology,writer,Catholicism,male
,,,,,priest,,
,,,,,theologian,,
"De Molina, Antonio",,,,,,,
Nicolaus Janssenius,Q55913849,,,,,,male
Lucio Morra,Q30331865,,,,Catholic archbishop,Catholic Church,male
"de Goni, Pedro",,,,,,,
"Labat, Joannes Ferdinandus",,,,,,,
Thomas Sailly,Q67035840,,Old University of Leuven,,historian,,male
,,,,,writer,,
Henricus Adriani,Q96865143,,Old University of Leuven,,theologian,,male
,,,,,religious,,
Aubert Miraeus,Q2870578,,University of Douai,,historian,Catholic Church,male
,,,Old University of Leuven,,librarian,,
,,,,,theologian,,
"von Bayern, Ferdinand",,,,,,,
Justus de Harduwijn,Q742930,Southern Netherlands,Old University of Leuven,,poet,Catholicism,male
,,,,,writer,,
"Heemssen, Joan David",,,,,,,
"Ierselius, Matthaeus",,,,,,,
Johannes Chrysostomus vander Sterre,Q19288583,,,,Catholic priest,Catholic Church,male
Joan Ijsermans,Q3179591,France,,,playwright,,male
"Lancelot, Hendrik",,,,,,,
"Lancelot, Hendrik",,,,,,,
"Lipsius, Justus",,,,,,,
"De Zun?iga, Baltasar",,,,,,,
"Vacquerius, Antonius",,,,,,,
"Fabricius, Gulielmus",,,,,,,
"Lipsius, Justus",,,,,,,
"Burgius, Thomas",,,,,,,
"Wortzel, Cornelius",,,,,,,
"Van Drenckwaert, Jan",,,,,,,
"Fabricius, Gulielmus",,,,,,,
Rudolf$ $ $bII,,,,,,,
Jacob Kurz von Senftenau,Q1677561,,,,,,male
"Barwitz, Johann Anton",,,,,,,
Felipe$ $ $bII,,,,,,,
Verreycken,,,,,,,
Henri$ $ $bIV,,,,,,,
Perrochel,,,,,,,
Albrecht$ $ $bVII,,,,,,,
Isabella Clara Eugenia,Q158256,Spain,,,politician,Catholic Church,female
"de Busschere, I.",,,,,,,
"de Grimaldi, S.",,,,,,,
"Zamoyski, Jan",,,,,,,
"Oudaert, Nicolaus",,,,,,,
"Wargnier, Guillaume",,,,,,,
"Van den Wouwer, Jan",,,,,,,
Lawrence Beyerlinck,Q3828133,,Old University of Leuven,,writer,Catholic Church,male
,,,Universit¨¦ catholique de Louvain,,theologian,,
Adriaan van Roomen,Q505646,Germany,,,mathematician,Catholicism,male
,,,,,professor,,
Erycius Puteanus,Q2791618,Spanish Netherlands,,,linguist,,male
,,Netherlands,,,university teacher,,
,,,,,writer,,
"?¨®?kiewski, Iwan",,,,,,,
Erycius Puteanus,Q2791618,Spanish Netherlands,,,linguist,,male
,,Netherlands,,,university teacher,,
,,,,,writer,,
"de Bourgogne, Herman",,,,,,,
"Marcelis, Joannes",,,,,,,
"Smeyers, Henricus",,,,,,,
Cornelius a Lapide,Q1134021,County of Flanders,University of Douai,,priest,Catholicism,male
,,,,,university teacher,,
,,,,,writer,,
,,,,,theologian,,
Cornelius a Lapide,Q1134021,County of Flanders,University of Douai,,priest,Catholicism,male
,,,,,university teacher,,
,,,,,writer,,
,,,,,theologian,,
Boetius ¨¤ Bolswert,Q2121061,Netherlands,,,copperplate engraver,,male
,,,,,publisher,,
,,,,,illustrator,,
,,,,,engraver,,
Antoine Sucquet,Q56006643,,University of Douai,theology,Catholic theologian,,male
,,,,philosophy,theologian,,
,,,,,philosopher,,
"Zoes, Gerardus",,,,,,,
"Zoes, Nicolaus",,,,,,,
Victor Gislain,Q21545850,,,,physician,,male
,,,,,philologist,,
Antonius Triest,Q2149954,,Old University of Leuven,,Catholic priest,Catholic Church,male
Bernardus Bauhusius,Q5305148,,,,composer,Catholicism,male
,,,,,writer,,
,,,,,priest,,
Erycius Puteanus,Q2791618,Spanish Netherlands,,,linguist,,male
,,Netherlands,,,university teacher,,
,,,,,writer,,
Francisco Arias de P¨¢rraga,Q3081803,Spain,University of Alcal¨¢,,writer,Catholic Church,male
,,,,,theologian,,
,,,,,philosopher,,
Nicolaas van Buren,Q106705012,,,,,,male
"Lindanus, David",,,,,,,
Robert Bellarmine,Q298664,,Pontifical Gregorian University,administration and management of the church,writer,Catholic Church,male
,,,University of Padua,theology,librarian,,
,,,Old University of Leuven,Counter-Reformation,university teacher,,
,,,,philology,Latin Catholic priest,,
,,,,study of the Hebrew language,theologian,,
,,,,,regular clergyman,,
,,,,,priest,,
,,,,,philologist,,
,,,,,Hebraist,,
"Boot, Christina",,,,,,,
Jean Buys,Q22683633,Kingdom of the Netherlands,Johannes Gutenberg University Mainz,,university teacher,,male
"de Haseler, Joannes",,,,,,,
"Paludanus, Joannes",,,,,,,
Juan Gonz¨¢lez de Critana,Q109935423,Spain,,,writer,,male
,,,,,religious,,
"Dayneffe, Georgius Aurelius",,,,,,,
Augustine of Hippo,Q8018,Ancient Rome,,philosophy,philosopher,Catholic Church,male
,,,,theology,theologian,Manichaeism,
,,,,,autobiographer,,
,,,,,music theorist,,
,,,,,preacher,,
,,,,,historian,,
,,,,,poet,,
,,,,,presbyter,,
,,,,,writer,,
,,,,,Catholic priest,,
"Bruloot, Jan",,,,,,,
Cornelius Lancilottus,Q28530990,,,,writer,Catholic Church,male
Jan van Blitterswyck,Q27995644,,,,monk,,male
"Pauli, Matthias",,,,,,,
Benito Arias Montano,Q816903,Spain,Complutense University,,linguist,,male
,,,,,librarian,,
,,,,,translator,,
Erasmus,Q43499,Seventeen Provinces,University of Paris,Christian philosophy,translator,Catholic Church,male
,,,Queens' College,renaissance humanism,philosopher,,
,,,University of Cambridge,,theologian,,
,,,University of Turin,,teacher,,
,,,Coll¨¨ge de Montaigu,,essayist,,
,,,City Gymnasium,,Bible translator,,
,,,College of Sorbonne,,writer,,
,,,,,Lady Margaret's Professor of Divinity,,
,,,,,latinist,,
,,,,,Latin Catholic priest,,
,,,,,university teacher,,
"Fabricius Boderianus, Guido",,,,,,,
"Baxius, Nicasius",,,,,,,
"Baxius, Nicasius",,,,,,,
"Bosschaerts, Willibrordus",,,,,,,
"Bosschaerts, Willibrordus",,,,,,,
"Bochius, Johannes",,,,,,,
Lawrence Beyerlinck,Q3828133,,Old University of Leuven,,writer,Catholic Church,male
,,,Universit¨¦ catholique de Louvain,,theologian,,
"de Gryze, Michael",,,,,,,
"Busaeus, Joannes",,,,,,,
Jacobus Boonen,Q2265364,,Old University of Leuven,,judge,Catholic Church,male
,,,,,lawyer,,
,,,,,Catholic priest,,
Michiel Zachmoorter,Q107696029,,University of Douai,,Catholic priest,,male
Anselm of Canterbury,Q43939,France,,philosophy,philosopher,Catholicism,male
,,,,,theologian,,
,,,,,Latin Catholic priest,,
,,,,,archbishop,,
,,,,,writer,,
"de Berghes, Guillaume",,,,,,,
Henricus Sommalius,Q1606112,Germany,,,Catholic priest,Catholicism,male
"Hugo, Herman",,,,,,,
"Bolswert, Bo?tius Adamz",,,,,,,
"Cabilliau, Balduinus",,,,,,,
"Habbequius, Maximilianus",,,,,,,
Jacobus Boonen,Q2265364,,Old University of Leuven,,judge,Catholic Church,male
,,,,,lawyer,,
,,,,,Catholic priest,,
"Collaert, Carolus",,,,,,,
Michiel Zachmoorter,Q107696029,,University of Douai,,Catholic priest,,male
Dionysius Mutsaerts,Q3046733,,University of Douai,,writer,,male
Johannes Chrysostomus vander Sterre,Q19288583,,,,Catholic priest,Catholic Church,male
"Castellanus, Petrus",,,,,,,
"de Robiano, Balthazar",,,,,,,
Leonardus Lessius,Q1367280,Netherlands,Pontifical Gregorian University,theology,theologian,Catholic Church,male
,,,Sapienza University of Rome,,priest,,
,,,Universit¨¦ catholique de Louvain,,,,
,,,Old University of Leuven,,,,
Ghisbertus Masius,Q2263721,,Old University of Leuven,,Catholic priest,Catholic Church,male
Robert Bellarmine,Q298664,,Pontifical Gregorian University,administration and management of the church,writer,Catholic Church,male
,,,University of Padua,theology,librarian,,
,,,Old University of Leuven,Counter-Reformation,university teacher,,
,,,,philology,Latin Catholic priest,,
,,,,study of the Hebrew language,theologian,,
,,,,,regular clergyman,,
,,,,,priest,,
,,,,,philologist,,
,,,,,Hebraist,,
"Vander Burch, Henricus Franciscus",,,,,,,
Robert Bellarmine,Q298664,,Pontifical Gregorian University,administration and management of the church,writer,Catholic Church,male
,,,University of Padua,theology,librarian,,
,,,Old University of Leuven,Counter-Reformation,university teacher,,
,,,,philology,Latin Catholic priest,,
,,,,study of the Hebrew language,theologian,,
,,,,,regular clergyman,,
,,,,,priest,,
,,,,,philologist,,
,,,,,Hebraist,,
"Sforza, Francesco",,,,,,,
"de Winghe, Antonius",,,,,,,
Leonardus Lessius,Q1367280,Netherlands,Pontifical Gregorian University,theology,theologian,Catholic Church,male
,,,Sapienza University of Rome,,priest,,
,,,Universit¨¦ catholique de Louvain,,,,
,,,Old University of Leuven,,,,
"de Trejo y Paniagua, Gabriel",,,,,,,
"Trejo de Sande, Antonio",,,,,,,
Luke Wadding,Q1771793,Republic of Ireland,University of Coimbra,,historian,Catholic Church,male
,,,Kilkenny College,,theologian,,
"de Berghes, Guillaume",,,,,,,
Carolus Scribani,Q39072817,,,,philosopher,,male
"Blasaeus, Jacobus",,,,,,,
Juan de Casta?iza,Q99939518,Spain,,,chronicler,,male
,,,,,hagiographer,,
,,,,,preacher,,
Lorenzo Scupoli,Q978316,,,philosophy,writer,Catholic Church,male
,,,,religious literature,philosopher,,
,,,,,Catholic priest,,
,,,,,theologian,,
"vander Noot, Christina",,,,,,,
"Zoes, Gerardus",,,,,,,
Thomas Gratianus,Q113398403,,,,writer,,
"Grobbendonck, Antonius",,,,,,,
"Pisano, Bartholomaeo",,,,,,,
"Radulphius, Petrus",,,,,,,
"Spoelbergh, Guilielmus",,,,,,,
Cornelius Thielmans,Q64031624,,,,writer,,male
Cornelius Thielmans,Q64031624,,,,writer,,male
"Bautze van Schemerin, Baltasar",,,,,,,
Joannes Berwinckel,Q29436066,,,,printmaker,,male
Cornelius Thielmans,Q64031624,,,,writer,,male
Jacobus Boonen,Q2265364,,Old University of Leuven,,judge,Catholic Church,male
,,,,,lawyer,,
,,,,,Catholic priest,,
Michiel Zachmoorter,Q107696029,,University of Douai,,Catholic priest,,male
Leonardus Lessius,Q1367280,Netherlands,Pontifical Gregorian University,theology,theologian,Catholic Church,male
,,,Sapienza University of Rome,,priest,,
,,,Universit¨¦ catholique de Louvain,,,,
,,,Old University of Leuven,,,,
Franciscus Lucas Brugensis,Q86613888,,Old University of Leuven,,biblical scholar,Catholicism,male
"Maffeius, Joannes Petrus",,,,,,,
Pedro de Ribadeneira,Q1307637,Spain,University of Paris,,hagiographer,Catholicism,male
,,,University of Padua,,historian,,
,,,Old University of Leuven,,writer,,
Claudio Acquaviva,Q681779,Spain,,,Catholic priest,Catholic Church,male
Michel d'Esne,Q28859825,France,,,Catholic priest,Catholic Church,male
Lactantius,Q209102,Ancient Rome,,apologetics,writer,,male
,,,,theology,apologist,,
,,,,philosophy,rhetorician,,
Alfonso Salmeron,Q1383735,Spain,University of Paris,,theologian,Catholicism,male
,,,University of Bologna,,Catholic priest,,
,,,Complutense University,,,,
Claudio Acquaviva,Q681779,Spain,,,Catholic priest,Catholic Church,male
"Maffeius, Joannes Petrus",,,,,,,
"Bonelli, Michele",,,,,,,
"Boucquetius, Joannes",,,,,,,
Agostino Galamini,Q1648905,,,,Catholic priest,Catholic Church,male
"Justinianus, Vincentius",,,,,,,
Johannes Nider,Q66836,Germany,,,theologian,Catholic Church,male
,,,,,university teacher,,
,,,,,Catholic priest,,
"Lipsius, Justus",,,,,,,
"Lipsius, Justus",,,,,,,
"Lipsius, Justus",,,,,,,
Pierre Rebuffi,Q16590311,France,,,jurist,,male
Lawrence Beyerlinck,Q3828133,,Old University of Leuven,,writer,Catholic Church,male
,,,Universit¨¦ catholique de Louvain,,theologian,,
Jan David,Q108173133,,,,preacher,,male
,,,,,theologian,,
Francis Coster,Q2133452,,,theology,writer,Catholicism,male
,,,,,priest,,
,,,,,theologian,,
"Lancelot, Hendrik",,,,,,,
"De Haen, Willem",,,,,,,
"Jansenius, Cornelius",,,,,,,
Arnobius Rhetor,,,,,,,
Gottschalk Stewech,Q21545363,,,historiography,historian,,male
,,,,classical antiquity,philologist,,
,,,,,humanist,,
,,,,,university teacher,,
"Luis de Velasco y Velasco, 2nd Count of Salazar",Q1826184,,,,military officer,,male
"d'Hollander, Johannes",,,,,,,
"Harduinus, Dionysius",,,,,,,
Daniel Heinsius,Q918731,Netherlands,Leiden University,,poet,,male
,,Sweden,,,librarian,,
,,,,,university teacher,,
,,,,,classical scholar,,
,,,,,philologist,,
,,,,,playwright,,
,,,,,translator,,
,,,,,publisher,,
Anton Sander,Q2131492,Spanish Netherlands,University of Douai,,historian,Catholicism,male
,,,Old University of Leuven,,priest,,
,,,,,graphic artist,,
,,,,,engraver,,
"Moscovius, Isidorus",,,,,,,
Augustin Sabot,Q55231297,,,,,,male
"vander Gracht, Franciscus",,,,,,,
Maurice Chauncy,Q6792947,,,,Catholic priest,Catholic Church,male
"Havens, Arnold",,,,,,,
"Fabricius, Andreas",,,,,,,
"Bavarius, Aegidius",,,,,,,
Cornelis Kiliaan,Q1999639,Netherlands,,linguistics,translator,,male
,,,,lintel,lexicographer,,
,,,,lexicography,writer,,
,,,,Dutch,historian,,
,,,,,linguist,,
,,,,,poet,,
"Lipsius, Justus",,,,,,,
"Moretus, Balthasar",,,,,,,
"Potterus, Ludolphus",,,,,,,
"van Ravelingen, Frans",,,,,,,
"Vrientius, Maximus Aemylianus",,,,,,,
"Sarmiento de Mendoza, Franciscus",,,,,,,
"Lipsius, Justus",,,,,,,
"Lipsius, Justus",,,,,,,
Franciscus Lucas Brugensis,Q86613888,,Old University of Leuven,,biblical scholar,Catholicism,male
Antoine de Balinghem,Q2856838,France,,,Catholic priest,Catholicism,male
Th¨¦ophile Bernardin,Q110215435,,,,,,
"de Montmorency-Wastines, Antoine",,,,,,,
"Bodenus, Joannes",,,,,,,
"Lipsius, Justus",,,,,,,
Caesar Baronius,Q317900,,,,librarian,Catholic Church,male
,,,,,church historian,,
,,,,,historian,,
,,,,,writer,,
,,,,,Catholic priest,,
,,,,,Catholic deacon,,
Henri Spondanus,Q493670,France,,,Catholic priest,Catholic Church,male
,,,,,historian,,
,,,,,jurist,,
"Rosweydus, Heribertus",,,,,,,
"Rubens, Peter Paul",,,,,,,
Karel van Mallery,Q6369402,Netherlands,,,engraver,,male
Lucas Vorsterman the Elder,Q897552,Southern Netherlands,,,engraver,,male
"de Barnaige, Ren¨¦",,,,,,,
"de Schietere, Josse",,,,,,,
"Eghels, Joos",,,,,,,
"Vander Gracht, Guillaume",,,,,,,
"Lipsius, Justus",,,,,,,
"de Berghes, Guillaume",,,,,,,
"Galle, Cornelius$ $ $bI",,,,,,,
"Lipsius, Justus",,,,,,,
Robert Bellarmine,Q298664,,Pontifical Gregorian University,administration and management of the church,writer,Catholic Church,male
,,,University of Padua,theology,librarian,,
,,,Old University of Leuven,Counter-Reformation,university teacher,,
,,,,philology,Latin Catholic priest,,
,,,,study of the Hebrew language,theologian,,
,,,,,regular clergyman,,
,,,,,priest,,
,,,,,philologist,,
,,,,,Hebraist,,
"Barberini, Francesco",,,,,,,
Carolus Scribani,Q39072817,,,,philosopher,,male
Sebasti?o Barradas,Q7442696,,,,Catholic priest,Catholic Church,male
"Jansenius, Cornelius",,,,,,,
"De Haen, Willem",,,,,,,
Robert Bellarmine,Q298664,,Pontifical Gregorian University,administration and management of the church,writer,Catholic Church,male
,,,University of Padua,theology,librarian,,
,,,Old University of Leuven,Counter-Reformation,university teacher,,
,,,,philology,Latin Catholic priest,,
,,,,study of the Hebrew language,theologian,,
,,,,,regular clergyman,,
,,,,,priest,,
,,,,,philologist,,
,,,,,Hebraist,,
Robert Bellarmine,Q298664,,Pontifical Gregorian University,administration and management of the church,writer,Catholic Church,male
,,,University of Padua,theology,librarian,,
,,,Old University of Leuven,Counter-Reformation,university teacher,,
,,,,philology,Latin Catholic priest,,
,,,,study of the Hebrew language,theologian,,
,,,,,regular clergyman,,
,,,,,priest,,
,,,,,philologist,,
,,,,,Hebraist,,
Vladislaus$ $ $bIV,,,,,,,
Boetius ¨¤ Bolswert,Q2121061,Netherlands,,,copperplate engraver,,male
,,,,,publisher,,
,,,,,illustrator,,
,,,,,engraver,,
"Morin, Pierre",,,,,,,
Antoine Sucquet,Q56006643,,University of Douai,theology,Catholic theologian,,male
,,,,philosophy,theologian,,
,,,,,philosopher,,
Leonardus Lessius,Q1367280,Netherlands,Pontifical Gregorian University,theology,theologian,Catholic Church,male
,,,Sapienza University of Rome,,priest,,
,,,Universit¨¦ catholique de Louvain,,,,
,,,Old University of Leuven,,,,
Gisbertus Masius,Q94817440,,,,preacher,,male
Thomas Sailly,Q67035840,,Old University of Leuven,,historian,,male
,,,,,writer,,
"zu dem Berch, Elisabeth",,,,,,,
Mathias Hovius,Q2506641,,Old University of Leuven,,prelate,Catholic Church,male
"Couvreur, Martin",,,,,,,
"Couvreur, Martin",,,,,,,
"Couvreur, Martin",,,,,,,
"Couvreur, Martin",,,,,,,
"Couvreur, Martin",,,,,,,
"Couvreur, Martin",,,,,,,
"Couvreur, Martin",,,,,,,
"Couvreur, Martin",,,,,,,
Francis Coster,Q2133452,,,theology,writer,Catholicism,male
,,,,,priest,,
,,,,,theologian,,
"Baxius, Nicasius",,,,,,,
Thomas of Villanova,Q2166628,Spain,Complutense University,theology,philosopher,Catholic Church,male
,,,,Catholicism,Catholic priest,,
,,,,,theologian,,
"de Montmorency, Nicolas",,,,,,,
Franciscus Sonnius,Q1245193,,Old University of Leuven,,theologian,Catholic Church,male
,,,,,Catholic priest,,
,,,,,university teacher,,
,,,,,inquisitor,,
"P¨¦rez, Andr¨¦s",,,,,,,
Antonio Carnero,Q20830997,Spain,,,,,male
,,Portugal,,,,,
Saint Alena,Q2837050,,,,,,female
"von Bayern, Ferdinand",,,,,,,
"Pinelus, Arius",,,,,,,
Francesco Benci,Q30014571,Papal States,,,literary,,male
,,,,,teacher,,
"De Pretere, Guilielmus",,,,,,,
Joannes Bourgeois,Q115853610,,,,,,male
Richard Rowlands,Q656317,Kingdom of England,,,writer,Catholic Church,male
,,,,,journalist,,
,,,,,poet,,
"Buchler, Johann",,,,,,,
"Pontanus, Jakob",,,,,,,
"Pauli, Matthias",,,,,,,
"de Soto, Andreas",,,,,,,
"vanden Broecke, Franciscus",,,,,,,
Theodoor Galle,Q178329,Southern Netherlands,,engraving process,engraver,,male
,,,,,printmaker,,
"Ierselius, Matthaeus",,,,,,,
Johannes Chrysostomus vander Sterre,Q19288583,,,,Catholic priest,Catholic Church,male
"Collaert, Jan$ $ $bII",,,,,,,
Maerten de Vos,Q555022,Southern Netherlands,,,painter,,male
,,,,,drawer,,
"Worthington, Thomas",,,,,,,
Egbertus Spitholdinus Plebanus,Q112491916,,,,parson,,male
,,,,,canon,,
,,,,,censor,,
"de la Court, Joannes",,,,,,,
Johannes Hierosolymitamus,,,,,,,
"de Ribera, Francisco",,,,,,,
Jacob Roecx,Q107718310,,,,theologian,,male
,,,,,Catholic priest,,
Simon Verepaeus,Q21545848,,Old University of Leuven,administration and management of the church,writer,,male
,,,,philology,latinist,,
,,,,theology,priest,,
,,,,pedagogy,philologist,,
,,,,,theologian,,
,,,,,pedagogue,,
Carolus Scribani,Q39072817,,,,philosopher,,male
Niccol¨° Orlandini,Q7024607,,Pontifical Gregorian University,history,historian,,male
Francesco Sacchini,Q21656911,,,,historian,Catholicism,male
,,,,,theologian,,
"Bouchier, Gilles",,,,,,,
Jean Chapeauville,Q6170396,,University of Cologne,,historian,Catholic Church,male
Charles Malapert,Q744091,,,,astronomer,Catholicism,male
,,,,,poet,,
,,,,,mathematician,,
"de Gouda, Joannes",,,,,,,
Francis Coster,Q2133452,,,theology,writer,Catholicism,male
,,,,,priest,,
,,,,,theologian,,
Leonardus Lessius,Q1367280,Netherlands,Pontifical Gregorian University,theology,theologian,Catholic Church,male
,,,Sapienza University of Rome,,priest,,
,,,Universit¨¦ catholique de Louvain,,,,
,,,Old University of Leuven,,,,
"Sanchez, Tom¨¢s",,,,,,,
Francis Coster,Q2133452,,,theology,writer,Catholicism,male
,,,,,priest,,
,,,,,theologian,,
Francis Coster,Q2133452,,,theology,writer,Catholicism,male
,,,,,priest,,
,,,,,theologian,,
Francis Coster,Q2133452,,,theology,writer,Catholicism,male
,,,,,priest,,
,,,,,theologian,,
Francis Coster,Q2133452,,,theology,writer,Catholicism,male
,,,,,priest,,
,,,,,theologian,,
Adrien Mangot,Q111025300,,,,,,
Pedro de Ribadeneira,Q1307637,Spain,University of Paris,,hagiographer,Catholicism,male
,,,University of Padua,,historian,,
,,,Old University of Leuven,,writer,,
"Quartemont, Gaspar",,,,,,,
Leonardus Lessius,Q1367280,Netherlands,Pontifical Gregorian University,theology,theologian,Catholic Church,male
,,,Sapienza University of Rome,,priest,,
,,,Universit¨¦ catholique de Louvain,,,,
,,,Old University of Leuven,,,,
Heribert Rosweyde,Q639331,Netherlands,University of Douai,,hagiographer,Catholic Church,male
,,,,,historian,,
,,,,,writer,,
,,,,,Catholic priest,,
"Sanchez, Gaspar",,,,,,,
Sebasti?o Barradas,Q7442696,,,,Catholic priest,Catholic Church,male
Fronton du Duc,Q3089251,France,,,theologian,Catholicism,male
Luis del Alc¨¢zar,Q6701263,Spain,,,Catholic priest,Catholic Church,male
Jan David,Q108173133,,,,preacher,,male
,,,,,theologian,,
Th¨¦ophile Bernardin,Q110215435,,,,,,
Jacques Bonfr¨¨re,Q15486917,,University of Douai,,theologian,Catholicism,male
Leonardus Lessius,Q1367280,Netherlands,Pontifical Gregorian University,theology,theologian,Catholic Church,male
,,,Sapienza University of Rome,,priest,,
,,,Universit¨¦ catholique de Louvain,,,,
,,,Old University of Leuven,,,,
Thomas Sailly,Q67035840,,Old University of Leuven,,historian,,male
,,,,,writer,,
Robert Bellarmine,Q298664,,Pontifical Gregorian University,administration and management of the church,writer,Catholic Church,male
,,,University of Padua,theology,librarian,,
,,,Old University of Leuven,Counter-Reformation,university teacher,,
,,,,philology,Latin Catholic priest,,
,,,,study of the Hebrew language,theologian,,
,,,,,regular clergyman,,
,,,,,priest,,
,,,,,philologist,,
,,,,,Hebraist,,
"Burenus, Nicolaus",,,,,,,
"Cuyckius, Henricus",,,,,,,
"de Monchy, Michael",,,,,,,
Lu¨ªs Fr¨®is,Q553687,Portugal,,theology,missionary,Catholicism,male
,,,,history,writer,,
,,,,missionary work,theologian,,
,,,,,Jesuit,,
"Gomez, Pedro",,,,,,,
"Hay, John",,,,,,,
Guilielmus Huysmans,Q115842412,,,,curate,,male
"Martins, Petrus",,,,,,,
Organtino Bresciano,,,,,,,
"Valignano, Alexandro",,,,,,,
"a Sacro Bosco, Christophe",,,,,,,
Francis Coster,Q2133452,,,theology,writer,Catholicism,male
,,,,,priest,,
,,,,,theologian,,
