author name,identifier,country of citizenship,educated at,field of work,occupation,religion or worldview,sex or gender
,,Netherlands,,,writer,,
,,,,,poet,,
,,,,,university teacher,,
,,,,,Renaissance humanist,,
"Schott, Andr¨¦",,,,,,,
Laevinus Torrentius,Q1866863,,Old University of Leuven,,Catholic priest,Catholic Church,male
"Lipsius, Justus",,,,,,,
"Sweerts, Pierre Fran?ois",,,,,,,
Janus Lernutius,Q2537143,,,,writer,,male
"Lipsius, Justus",,,,,,,
Erycius Puteanus,Q2791618,Spanish Netherlands,,,linguist,,male
,,Netherlands,,,university teacher,,
,,,,,writer,,
"Lipsius, Justus",,,,,,,
Erycius Puteanus,Q2791618,Spanish Netherlands,,,linguist,,male
,,Netherlands,,,university teacher,,
,,,,,writer,,
Thomas Fienus,Q3525114,Switzerland,,,physician,,male
Petrus Divaeus,Q14761011,,Old University of Leuven,,historian,,male
Aubert Miraeus,Q2870578,,University of Douai,,historian,Catholic Church,male
,,,Old University of Leuven,,librarian,,
,,,,,theologian,,
"Faber, Christophorus",,,,,,,
Gaspar Gevaerts,Q21545939,Spanish Netherlands,Old University of Leuven,philology,diplomat,,male
,,,University of Douai,poetry,poet,,
,,,,lintel,jurist,,
,,,,,philologist,,
,,,,,historian,,
,,,,,translator,,
Erycius Puteanus,Q2791618,Spanish Netherlands,,,linguist,,male
,,Netherlands,,,university teacher,,
,,,,,writer,,
Petrus Gudelinus,Q3385279,,Old University of Leuven,,writer,,male
,,,,,jurist,,
"Baeckx van Baerlandt, Adrianus",,,,,,,
Melchior van Daelhem,Q98112648,,,,,,male
"De Proest, Adrianus",,,,,,,
"Gudelinus, Petrus Paulus",,,,,,,
"Gudelinus, Philippus",,,,,,,
"Mercerus, Guilielmus",,,,,,,
Erycius Puteanus,Q2791618,Spanish Netherlands,,,linguist,,male
,,Netherlands,,,university teacher,,
,,,,,writer,,
"Vanden Perre, Michael",,,,,,,
Maximilian Wittebort,Q111281502,,,,,,
Johannes Wamesius,Q23620999,Prince-Bishopric of Li¨¨ge,Old University of Leuven,canon law,jurist,,male
"Favre, Antoine",,,,,,,
Johannes Valdor (I),Q29436084,,,,etcher,,male
,,,,,engraver,,
,,,,,drawer,,
,,,,,copperplate engraver,,
¨¦tienne Weyms,Q96870529,,,,university teacher,,male
"Lipsius, Justus",,,,,,,
"Borromeo, Federico",,,,,,,
"Fabricius, Gulielmus",,,,,,,
Jacob Kurz von Senftenau,Q1677561,,,,,,male
"Barwitz, Johann Anton",,,,,,,
Verreycken,,,,,,,
Perrochel,,,,,,,
"de Grimaldi, S.",,,,,,,
"de Busschere, I.",,,,,,,
"Lipsius, Justus",,,,,,,
Ottavio Mirto Frangipani,Q21208780,,University of Naples Federico II,,Catholic priest,Catholic Church,male
"Fabricius, Gulielmus",,,,,,,
"Lipsius, Justus",,,,,,,
Demetrius of Phalerum,Q313286,Classical Athens,,philosophy,politician,,male
,,,,,philosopher,,
,,,,,librarian,,
"van Ravelingen, Frans",,,,,,,
Theodoor Galle,Q178329,Southern Netherlands,,engraving process,engraver,,male
,,,,,printmaker,,
Agostino Mascardi,Q3606791,Republic of Genoa,Pontifical Gregorian University,,historian,Catholicism,male
,,,,,rhetorician,,
,,,,,poet,,
"Rubens, Peter Paul",,,,,,,
Erycius Puteanus,Q2791618,Spanish Netherlands,,,linguist,,male
,,Netherlands,,,university teacher,,
,,,,,writer,,
Carolus Scribani,Q39072817,,,,philosopher,,male
"Rycquius, Justus",,,,,,,
"Lipsius, Justus",,,,,,,
Stephanus Pighius,Q331216,Netherlands,,,historian,,male
Valerius Maximus.,,,,,,,
"Balin, Jean",,,,,,,
"Ambrogio Spinola, 1st Marquis of the Balbases",Q359936,Spain,,,military officer,,male
,,,,,military personnel,,
,,,,,soldier,,
Johannes Malderus,Q2690643,,Old University of Leuven,,Catholic priest,Catholic Church,male
,,,University of Douai,,university teacher,,
Franciscus Haraeus,Q2120010,Netherlands,University of Douai,,cartographer,Catholic Church,male
,,,,,historian,,
,,,,,geographer,,
Schelte a Bolswert,Q2288622,Netherlands,,,engraver,,male
,,,,,painter,,
,,,,,graphic artist,,
,,,,,copperplate engraver,,
"Collaert, Jan$ $ $bII",,,,,,,
Otto van Veen,Q785355,Habsburg Netherlands,,art of painting,painter,,male
Johannes Baptista (I) Vrints,Q21638929,,,,printmaker,,male
,,,,,copperplate engraver,,
,,,,,publisher,,
"Lipsius, Justus",,,,,,,
Stephanus Pighius,Q331216,Netherlands,,,historian,,male
Valerius Maximus.,,,,,,,
Andrea Alciato,Q464471,,University of Bologna,,jurist,,male
,,,,,historian,,
,,,,,university teacher,,
,,,,,writer,,
"Florus, Lucius Annaeus.",,,,,,,
Erycius Puteanus,Q2791618,Spanish Netherlands,,,linguist,,male
,,Netherlands,,,university teacher,,
,,,,,writer,,
"Seneca, Lucius Annaeus$ $ $gRhetor",,,,,,,
Erycius Puteanus,Q2791618,Spanish Netherlands,,,linguist,,male
,,Netherlands,,,university teacher,,
,,,,,writer,,
"Richardot, Jean",,,,,,,
"Collemius, Balthasar",,,,,,,
"de Ribera, Francisco",,,,,,,
Virgilio Cepari,Q4013902,,,,Catholic priest,Catholicism,male
Joannes Collaert,Q115842396,,,,bisschoppelijk secretaris,,male
"de Fraye, Leonardus",,,,,,,
"Gonzaga, Aloisius",,,,,,,
"de Robiano, Balthasar",,,,,,,
"Guillimanus, Franciscus",,,,,,,
"Lipsius, Justus",,,,,,,
Jacobus Cornelius Lummenaeus ¨¤ Marca,Q112481178,,,,poet,,
,,,,,historian,,
Erycius Puteanus,Q2791618,Spanish Netherlands,,,linguist,,male
,,Netherlands,,,university teacher,,
,,,,,writer,,
"Saccus, Joannes Baptista",,,,,,,
Erycius Puteanus,Q2791618,Spanish Netherlands,,,linguist,,male
,,Netherlands,,,university teacher,,
,,,,,writer,,
"Borromeo, Federico",,,,,,,
"van Assche, Justinus",,,,,,,
"Boner, Matthias",,,,,,,
"Piotrkowczyk, Andrzej",,,,,,,
Nikolas von Burgund,Q55844402,,,,historian,,male
Petrus Castellanus,Q21545335,,University of Douai,,philologist,,male
,,,,,physician,,
,,,,,university teacher,,
,,,,,hellenist,,
Bartolomeo Cambi,Q52149143,,,theology,lecturer,,male
,,,,missionary work,preacher,,
,,,,educational system,theologian,,
,,,,poetry,missionary,,
,,,,music,pedagogue,,
